PC1,PC2,Cluster
-1.2231552013063014,-1.676759065343051,1
-0.4623126267673967,-0.20556526629044286,1
-1.1592372935926167,-1.584127581774553,1
-0.3013967266263381,0.37724921862688776,1
-0.7102138564704664,-2.4265280596546286,1
0.6990657971822815,-1.7072752814640682,1
0.6988253104276377,-0.9920734895985699,1
-1.6009677492705556,-1.3554547612813868,1
1.6565678893776108,-0.48783837713261496,2
0.28291256635575124,0.8114996135147083,2
-0.9932187812588126,-1.0331446217338192,1
-3.0194430158882595,1.275256404873295,0
2.298170363817426,0.9137587439758796,2
2.2170578331584196,0.102373205259288,2
1.1777204774634782,-0.650158917814436,1
3.2631514466419205,2.481204052798455,2
-2.5334003416550352,1.9164254686477737,0
2.791223382456208,1.7032759992346884,2
-0.8748086625247363,-0.6394868204030659,1
0.5880799144584811,-1.2457559542644194,1
-0.6196163724964242,-2.2760126581919162,1
-2.95628081761538,1.321627659269467,0
-3.4422216373489696,0.4554949416365094,0
0.9403158393656129,0.7626288758715974,2
0.18277145981432777,0.6980772746204302,2
-0.3679459196878685,-0.8046650961784654,1
2.0608623388862832,0.0740146529031297,2
-1.435522334197775,-1.275053384528879,1
2.668796774809916,2.148942062095391,2
-0.41996836426507067,-1.149394774143815,1
3.0587991575082953,1.2264795136520654,2
0.6585144697772229,-1.9520859935603436,1
-0.13908021766962822,0.6024335768097322,1
-3.314540544189764,0.4944350036229498,0
-1.1254838925524784,-2.3304051872100056,1
2.6630243564541156,2.0893509826119634,2
-0.6614033377221011,-2.3354537000621707,1
0.6962967913293029,-0.6512205799461386,1
1.7885731762510286,-0.6121520637231492,2
0.7485915678913285,-1.399591346178755,1
-1.1035442345891773,-0.6381333141763013,1
1.6421905914993649,1.5191533484242308,2
-2.9816248155403016,1.620049067105929,0
1.7885534970505097,1.3731556482999876,2
0.2770006971466684,-0.7539249580223999,1
1.2981611122908225,-0.8238101650080307,1
-1.4510883533414778,-1.6454871694755502,1
-0.3845445571817354,-2.3047115811026324,1
1.4497996011291772,0.75033718130072,2
1.3140411781782138,1.5641943141538681,2
1.8063399269179787,-1.2247239955829738,2
0.6230785600833059,-1.0861301524708056,1
0.7412054572666261,-0.8914632624562273,1
0.5123086864269066,-2.013352439064774,1
1.8110379509780756,1.11908567593416,2
1.2108406099643834,-2.0928924308506893,1
2.548221851343337,1.1429347063383977,2
3.541362448297468,1.090219846143042,2
-2.201937827558987,2.213743976839764,0
3.144542802983651,1.3925269220887968,2
2.1161694471377444,-0.13958692456871508,2
1.9214140972804992,0.017504405451259586,2
0.46191942227325444,1.4147073778749095,2
-0.45279616117013016,-0.28698061907488065,1
0.32242944069140667,-1.7291457549299398,1
-0.2725619019019433,-1.4601656497712676,1
1.2579407423488105,-0.2217960375695986,2
0.45864101813170965,0.41566906677031473,2
-2.344256189760247,2.5086971837433816,0
-0.31040033661364425,-1.527107601134024,1
-1.5424083914309534,-1.6308777081542427,1
-2.088197214889556,2.068173979207887,0
3.4837990857955967,1.3828607658588916,2
-1.5755902801832302,2.667062133214892,0
-0.750396557075284,-1.142316667359587,1
2.957626161899987,0.436083589342795,2
-0.025673941418198176,-0.16207999217489316,1
-1.0727435698226508,-0.75398071819525,1
0.8062064346720051,-1.1531875482089358,1
-1.8062351152483676,2.1707661946598065,0
-0.45662206999459753,-2.109393040257024,1
-0.6152329884579171,-0.7342585783952014,1
-0.2679500147849716,-1.5789186862787181,1
1.7652666402598687,0.08821890062970711,2
-2.1352370752472236,2.0944592844536944,0
0.6875999480178974,-1.486208480483859,1
0.1930394008614769,-0.13073561825559693,1
-2.3350561173148576,2.483197189129665,0
-2.337029220146765,2.2073160616476883,0
-0.8945531463331147,-0.7222289526820727,1
0.44162022396998435,-0.2334790883903986,1
-0.4271899859458722,-2.4926230710534933,1
2.100497303636636,1.9111954297997624,2
2.9865566249321263,0.9284143736016264,2
3.018702591624989,1.3360751223336385,2
0.0038858264436157086,-1.8453313578107275,1
1.45519199733383,1.5231631549902114,2
-3.359021728032866,0.5432239750217566,0
-2.3803749928475986,2.086872161731974,0
1.5989162707866413,-1.1590223169256328,1
-3.4413915356732865,0.455235410180034,0
-3.2003543281206794,0.7797833441222315,0
1.2888708456213926,0.09534388806021715,2
0.9876202814101728,0.5926710416754425,2
3.3227039971253984,1.7747507203824395,2
-1.825235499657091,-1.717292198924806,1
3.0619031280218856,1.4704664477680278,2
-1.133891315937825,-0.520346659484302,1
1.2784563294695883,-0.15797317357563462,2
-2.0047832448113017,3.0154661128485745,0
2.1019646331672073,0.1876139064978991,2
0.18360514942794134,0.6206592060796239,2
1.309103183392561,-0.5325089347036909,2
1.166973552205102,-1.5498941076942239,1
1.0696083118721984,1.1881697155200492,2
-0.15267691418827833,-1.1425789389550132,1
-0.89371577280406,-0.26098947482653073,1
0.792261806710239,-1.1433209594536051,1
-2.698642721540274,1.789659846742932,0
0.7467335587440316,-0.4736733887594324,1
2.3984682211112296,0.8850723842877578,2
-3.347181433069707,0.5614040268906191,0
-0.35601419680827073,-2.358985667689557,1
-1.285271385011773,-1.009592381412743,1
-3.2743764341322255,0.9985223624460737,0
0.8554835786212979,-0.3584952225475065,1
0.9122656879959957,-1.8667466322995425,1
-1.3774848211643156,2.693784650012096,0
-3.4488624507544343,0.45757119328831164,0
1.5611819054261098,0.30361789763710234,2
0.32966901514935054,-1.9144940350880457,1
0.2810498787437272,0.14410584972547447,1
0.1477504468528232,0.5840806336452116,2
-1.2080015705262814,-2.032252239866973,1
-1.5003527768837277,-2.0207866137644004,1
-1.9364137678672366,1.7616916044538942,0
-0.03859406329881018,-1.3430871818722745,1
-2.226893464763243,2.7956198297441524,0
-2.2933158542345558,2.1977277356539306,0
-0.35985909533973237,-2.5078873979110745,1
3.0201848400701827,1.9022794345453746,2
-0.3764731314473513,-1.2062498251362765,1
2.5954173969496193,0.9205263706105289,2
1.767964021503739,0.511752708349169,2
-1.1684096958785155,2.3793367334849664,0
